announce_date,principal_amount,coupon_rate,maturity_year,description,sec_url
2020-12-09,650000000,0.007500,2025.000000,0.75% Convertible Senior Notes due 2025,https://www.sec.gov/Archives/edgar/data/1050446/000110465920140240/tm2034715d1_8k.htm
2021-02-17,1050000000,0.000000,2027.000000,0% Convertible Senior Notes due 2027,https://www.sec.gov/Archives/edgar/data/1050446/000110465921018198/tm215332d1_8k.htm
2021-06-14,500000000,0.061250,2028.000000,6.125% Convertible Senior Notes due 2028,https://www.sec.gov/Archives/edgar/data/1050446/000110465921081454/tm2119401d1_8k.htm
2021-11-18,500000000,0.000000,2028.000000,0% Convertible Senior Notes due 2028,https://www.sec.gov/Archives/edgar/data/1050446/000110465921143047/tm2128768d1_8k.htm
2022-03-15,205000000,0.000000,2032.000000,0% Convertible Senior Notes due 2032,https://www.sec.gov/Archives/edgar/data/1050446/000110465922036858/tm228127d1_8k.htm
2024-03-08,800000000,0.006250,2030.000000,0.625% Convertible Senior Notes due 2030,https://www.sec.gov/Archives/edgar/data/1050446/000110465924027144/tm246245d1_8k.htm
2024-06-14,800000000,0.022500,2032.000000,2.25% Convertible Senior Notes due 2032,https://www.sec.gov/Archives/edgar/data/1050446/000110465924065610/tm2414440d1_8k.htm
2024-09-17,1010000000,0.008750,2028.000000,0.875% Convertible Senior Notes due 2028,https://www.sec.gov/Archives/edgar/data/1050446/000110465924103528/tm2422850d1_8k.htm
2024-11-20,3000000000,0.000000,2029.000000,0% Convertible Senior Notes due 2029,https://www.sec.gov/Archives/edgar/data/1050446/000110465924121082/tm2429283d1_8k.htm
2025-03-03,2080000000,0.000000,2030.000000,0% Convertible Senior Notes due 2030,https://www.sec.gov/Archives/edgar/data/1050446/000110465925023861/tm2510678d1_8k.htm
2025-06-04,700000000,,,Convertible Senior Notes due ~2032 (terms TBD at time of writing),https://www.sec.gov/Archives/edgar/data/1050446/000110465925062472/tm2516887d1_8k.htm
