Date,Open,High,Low,Close,Volume,shares_outstanding,btc_holdings,btc_price,market_cap,btc_holdings_value,nav_premium,total_debt,leverage_ratio
2020-01-02,14.284000,14.489000,14.272000,14.431000,276000,10267100.000000,21454.000000,6985.470215,148164517.593384,149866277.989258,0.988645,0.000000,0.000000
2020-01-03,14.302000,14.489000,14.280000,14.357000,585000,10267100.000000,21454.000000,7344.884277,147404758.303261,157577147.286133,0.935445,0.000000,0.000000
2020-01-06,14.325000,14.546000,14.325000,14.425000,327000,10267100.000000,21454.000000,7769.219238,148102919.458294,166680829.538086,0.888542,0.000000,0.000000
2020-01-07,14.400000,14.537000,14.324000,14.387000,349000,10267100.000000,21454.000000,8163.692383,147712768.561649,175143856.380859,0.843380,0.000000,0.000000
2020-01-08,14.395000,14.547000,14.207000,14.371000,395000,10267100.000000,21454.000000,8079.862793,147548497.076607,173345376.360352,0.851182,0.000000,0.000000
2020-01-09,14.445000,14.532000,14.291000,14.350000,642000,10267100.000000,21454.000000,7879.071289,147332888.916588,169037595.435547,0.871598,0.000000,0.000000
2020-01-10,14.414000,14.516000,14.215000,14.239000,411000,10267100.000000,21454.000000,8166.554199,146193240.189934,175205253.790039,0.834411,0.000000,0.000000
2020-01-13,14.252000,14.531000,14.252000,14.459000,490000,10267100.000000,21454.000000,8144.194336,148451995.140076,174725545.283203,0.849630,0.000000,0.000000
2020-01-14,14.469000,14.568000,14.407000,14.477000,468000,10267100.000000,21454.000000,8827.764648,148636809.128284,189390862.767578,0.784815,0.000000,0.000000
2020-01-15,14.483000,14.705000,14.483000,14.627000,535000,10267100.000000,21454.000000,8807.010742,150176870.211697,188945608.462891,0.794815,0.000000,0.000000
2020-01-16,14.712000,14.796000,14.608000,14.672000,357000,10267100.000000,21454.000000,8723.786133,150638890.495014,187160107.693359,0.804866,0.000000,0.000000
2020-01-17,14.747000,14.747000,14.622000,14.674000,336000,10267100.000000,21454.000000,8929.038086,150659423.206711,191563583.095703,0.786472,0.000000,0.000000
2020-01-21,14.629000,14.757000,14.513000,14.595000,533000,10267100.000000,21454.000000,8745.894531,149848327.241611,187634421.273438,0.798619,0.000000,0.000000
